fname,labels
0006ae4e.wav,Bark
0019ef41.wav,Raindrop
001ec0ad.wav,Finger_snapping
0026c7cb.wav,Run
0026f116.wav,Finger_snapping
003be5db.wav,Whispering
0041de6b.wav,"Acoustic_guitar,Strum"
004ca909.wav,Hi-hat
00713ec2.wav,Bass_drum
0073825a.wav,"Crowd,Cheering"
00975c2a.wav,Frying_(food)
009ca29f.wav,Chewing_and_mastication
00b0b76f.wav,Fart
00c17dd2.wav,Bass_guitar
00c40a6d.wav,Knock
00c4e82c.wav,Motorcycle
00c7ff40.wav,Stream
00c91dfc.wav,Chewing_and_mastication
00ffa0d2.wav,Hi-hat
0110ba24.wav,Male_singing
012c15b5.wav,Crackle
013b01b9.wav,Sigh
01565c33.wav,Burping_and_eructation
015a50b9.wav,Bark
0164cba5.wav,Female_singing
0175a379.wav,Tap
019234bc.wav,Female_speech_and_woman_speaking
0199c0a0.wav,Accelerating_and_revving_and_vroom
01a5de85.wav,"Cheering,Clapping"
02171503.wav,Accordion
0217540b.wav,Zipper_(clothing)
02286d70.wav,Bus
02356bfd.wav,Run
023935e1.wav,Meow
02430fbe.wav,Fart
024e0fbe.wav,Bass_drum
02633663.wav,Frying_(food)
027ab7f6.wav,Frying_(food)
028ddadb.wav,Bass_guitar
029adfea.wav,Hi-hat
029bd777.wav,"Frying_(food),Crackle"
029c1c70.wav,Tap
02a25949.wav,Whispering
02a5aae7.wav,Bass_drum
02abea37.wav,Waves_and_surf
02c55707.wav,Male_singing
02c86123.wav,Microwave_oven
02ddd8da.wav,Bus
02e3dbfe.wav,Child_speech_and_kid_speaking
02f54ef1.wav,Buzz
02fb5725.wav,Car_passing_by
030d5b55.wav,Finger_snapping
03106a7c.wav,Toilet_flush
0331a1bb.wav,Purr
035d21e0.wav,Church_bell
03730245.wav,Electric_guitar
037b9243.wav,Marimba_and_xylophone
03815f4c.wav,Accelerating_and_revving_and_vroom
038296b8.wav,Trickle_and_dribble
038af178.wav,Bus
03bafda9.wav,Sigh
03d241c1.wav,"Church_bell,Traffic_noise_and_roadway_noise"
03e47a59.wav,Harmonica
03e77f6b.wav,Male_speech_and_man_speaking
03ea2668.wav,Finger_snapping
03f48534.wav,Slam
03f91aaf.wav,Keys_jangling
